ID,EquipmentType,JobType,ItemNameEN,ItemNameKR,ItemDescription,ItemSprite,Tier,AttackPow,MaxHp,Defense,CriticalRate,CriticalDam,Speed,Counter
11101,Weapon,Male_Warrior,NoviceGuard,초보자의 방패,초보 전사에게 지급되는 기본형 방패,Weapon_Shield_01,A,31,,,,,,
11102,Weapon,Male_Warrior,RedGuard,진홍의 수호,불의 신전에서 제작된 방패,Weapon_Shield_04,A,28,,,,,,
11103,Weapon,Male_Warrior,VanguardAegis,선봉의 성벽,전열의 선봉에 선 자들을 위한 방패,Weapon_Shield_08,A,26,,,,,,
11104,Weapon,Male_Warrior,SentinelCrest,파수의 문장,변방의 성문을 지키던 파수병의 방패,Weapon_Shield_10,A,31,,,,,,
11105,Weapon,Male_Warrior,Doomspike,파멸의 송곳,날카로운 외곽이 특징인 공격형 방패,Weapon_Shield_11,A,45,,,,,,
11106,Weapon,Male_Warrior,ResoluteBarrier,결의의 방벽,흔들림 없이 버티는 결의를 담은 방패,Weapon_Shield_12,A,27,,,,,,
11107,Weapon,Male_Warrior,Stoneplate,석판 방패,무게는 있지만 매우 튼튼한 돌방패,Weapon_Shield_13,A,26,,,,,,
11108,Weapon,Male_Warrior,GearGuard,톱니 수호,기계문명의 유산이 남아있는 방패,Weapon_Shield_14,A,30,,,,,,
11201,Weapon,Male_Warrior,HornedGuard,뿔 달린 방패,사나운 야수의 기운이 서린 방패,Weapon_Shield_03,S,66,,,,,,
11202,Weapon,Male_Warrior,Wallmark,방벽의 흔적,견고한 방벽 같은 디자인의 방패,Weapon_Shield_05,S,93,,,,,,
11203,Weapon,Male_Warrior,ValorHorn,용맹의 뿔 방패,황소의 뿔을 본떠 제작된 방패,Weapon_Shield_07,S,79,,,,,,
11204,Weapon,Male_Warrior,RoundBastion,신앙의 수호방패,성스러운 십자가가 새겨진 방패,Weapon_Shield_09,S,73,,,,,,
11205,Weapon,Male_Warrior,CrystalGuard,수정 수호방패,마법 수정으로 강화된 방패.,Weapon_Shield_16,S,52,,,,,,
11301,Weapon,Male_Warrior,Timewheel,시간의 수레바퀴,시간 마법이 새겨진 고대의 방패,Weapon_Shield_06,SR,122,,,0.15,,,
11302,Weapon,Male_Warrior,FallingFlame,유성의 방패,하늘에서 떨어진 유성의 불씨로 만든 방패,Weapon_Shield_15,SR,115,,,,0.32,,
11401,Weapon,Male_Warrior,SigilGuard,문장의 수호자,왕국 근위대에게만 주어지는 명예의 방패,Weapon_Shield_02,SSR,175,,,0.2,0.53,,
12101,Weapon,FeMale_Warrior,BladeOfForest,숲의 칼날,숲의 정령과 교감하여 제작된 검,Weapon_Sword_03,A,48,,,,,,
12102,Weapon,FeMale_Warrior,RedBlade,붉은 칼날,피로 물든 전장을 수없이 누빈 검,Weapon_Sword_04,A,31,,,,,,
12103,Weapon,FeMale_Warrior,RoyalBlade,왕실의 칼날,왕국의 직속 기사에게만 하사되는 검,Weapon_Sword_05,A,41,,,,,,
12104,Weapon,FeMale_Warrior,MossySword,이끼 검,버려진 유적에서 오랜 세월 잠들어 있던 검,Weapon_Sword_07,A,27,,,,,,
12105,Weapon,FeMale_Warrior,NoviceSword,초보자의 검,초보 전사에게 지급되는 기본형 검,Weapon_Sword_09,A,20,,,,,,
12106,Weapon,FeMale_Warrior,FrozenSword,얼어붙은 칼날,영원의 빙하에서 채굴된 마법석으로 제작된 검,Weapon_Sword_10,A,37,,,,,,
12107,Weapon,FeMale_Warrior,BlazingEdge,불꽃의 칼날,마법사와 전사의 기술이 결합된 검,Weapon_Sword_11,A,35,,,,,,
12108,Weapon,FeMale_Warrior,SteelSword,강철의 칼날,튼튼하고 무거운 강철로 제작된 검,Weapon_Sword_14,A,45,,,,,,
12201,Weapon,FeMale_Warrior,OathOfGuardian,수호자의 맹세,정의와 명예를 지키는 자의 검,Weapon_Sword_01,S,75,,,,,,
12202,Weapon,FeMale_Warrior,ChivalrousSword,기사도 검,전통 기사단에서 계승되어 온 검 ,Weapon_Sword_02,S,80,,,,,,
12203,Weapon,FeMale_Warrior,Gladius,글라디우스,투기장에서 수백 번의 전투를 견딘 단검,Weapon_Sword_06,S,71,,,,,,
12204,Weapon,FeMale_Warrior,Flameblade,불꽃의 검,내면에 활활 타오르는 마법의 화염을 품은 검,Weapon_Sword_08,S,90,,,,,,
12205,Weapon,FeMale_Warrior,Stormblade,폭풍 검,폭풍 속에서 벼려낸 전설의 무기,Weapon_Sword_13,S,85,,,,,,
12301,Weapon,FeMale_Warrior,RoyalSword,왕실의 검,귀족 가문에서 대대로 전해지는 명검,Weapon_Sword_12,SR,131,,,0.12,,,
12302,Weapon,FeMale_Warrior,ShadowSword,그림자 검,어둠 속에서만 모습을 드러내는 검,Weapon_Sword_16,SR,125,,,,0.39,,
12401,Weapon,FeMale_Warrior,BladeOfRuin,파멸의 검,오래된 저주가 깃든 검,Weapon_Sword_15,SSR,198,,,0.23,0.52,,
13101,Weapon,SpearMan,NoviceSpear,초보자의 창,초보 창술사들에게 지급되는 기본형 창,Weapon_Spear_01,A,20,,,,,,
13102,Weapon,SpearMan,CrystalheadSpear,수정창,투명한 수정 끝이 달빛을 머금고 적을 꿰뚫는 창,Weapon_Spear_02,A,38,,,,,,
13103,Weapon,SpearMan,Bonecrusher,뼈 파쇄창,거대한 짐승을 쓰러뜨리기 위해 만들어진 무거운 창,Weapon_Spear_03,A,49,,,,,,
13104,Weapon,SpearMan,RedSpear,진홍의 창,불의 신전에서 제작된 창,Weapon_Spear_04,A,34,,,,,,
13105,Weapon,SpearMan,WardenSpear,수호자의 창,요새를 지키는 수호병들이 들던 창,Weapon_Spear_05,A,35,,,,,,
13106,Weapon,SpearMan,FrostEdge,서리날 창,날카로운 얼음의 송곳니처럼 적을 관통하는 창,Weapon_Spear_08,A,37,,,,,,
13107,Weapon,SpearMan,HunterSpear,사냥꾼의 창,오랜 사냥의 기억이 묻어 있는 창,Weapon_Spear_09,A,27,,,,,,
13108,Weapon,SpearMan,SilverSpear,은빛 창,신성한 의식에 사용되던 창,Weapon_Spear_14,A,36,,,,,,
13201,Weapon,SpearMan,WindFang,바람의 송곳니,바람에 흩날리는 나뭇잎처럼 부드럽고 날렵한 창,Weapon_Spear_07,S,80,,,,,,
13202,Weapon,SpearMan,EmberSpike,불꽃의 창,타오르는 화염의 형상을 닮은 창,Weapon_Spear_11,S,90,,,,,,
13203,Weapon,SpearMan,SourSpear,영혼의 창,죽은 자의 기억을 담고 있는 창,Weapon_Spear_12,S,82,,,,,,
13204,Weapon,SpearMan,Hawkbeak,매부리 창,매의 부리처럼 휘어진 창,Weapon_Spear_13,S,58,,,,,,
